Seg/Dir,Class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4SB,Medium A,23.0,11.0,18.0,35.0,74.0,136.0,160.0,191.54725177306037,213.60978301185656,232.57531521540412,162.483924069141,183.0,207.0,196.20000000000002,153.0,107.0,107.8,114.8,144.2,107.8,32.0,41.0,23.0,19.0
4SB,Medium B,4.0,6.0,6.0,8.0,1.0,31.0,75.0,75.84104384923202,75.9019533544668,87.74432346762974,71.98654863822703,78.0,81.9,54.9,45.0,28.0,25.2,25.2,26.599999999999998,21.0,6.0,6.0,4.0,8.0
4SB,Heavy A,188.0,179.0,173.0,198.0,254.0,263.0,234.0,266.4159745473022,344.8117309531492,398.5495174373061,438.0895674269245,435.0,380.7,349.2,279.90000000000003,262.0,310.79999999999995,324.79999999999995,389.2,413.0,239.0,223.0,218.0,196.0
4SB,Heavy B,42.0,33.0,33.0,26.0,32.0,30.0,16.0,15.557137199842465,7.59019533544668,23.25753152154041,15.425688993905792,17.0,10.8,13.5,8.1,7.0,7.0,8.399999999999999,30.799999999999997,32.199999999999996,32.0,20.0,25.0,32.0
4NB,Lights,605.0,408.0,379.0,680.0,1420.2,4625.1,5803.2,5156.376886199934,5782.138179852181,5920.951512286366,4790.740864254086,3919.5,4007.7000000000003,4147.2,4447.8,4555.8,4120.885336925819,5248.210475820451,5414.607307869834,2761.5663445997484,2186.1,2210.0,1532.7,1052.7063003396372
4NB,Medium A,23.0,23.0,17.0,21.0,38.7,75.60000000000001,120.60000000000001,161.90336559904645,215.01418357239265,281.8328614245641,232.44300349562988,207.0,206.1,185.4,182.70000000000002,116.10000000000001,127.75332882168559,124.18063688526433,120.47333935927938,58.455825662405054,42.300000000000004,30.0,15.3,18.816011012655792
4NB,Medium B,9.0,10.0,25.0,18.0,18.900000000000002,40.5,57.6,38.26806823250189,91.81686757956227,92.30333889450789,97.60593653279696,72.9,78.3,67.5,67.5,46.800000000000004,30.25736735250448,30.518970081971744,29.44903851004607,14.1425384667109,6.3,14.0,7.2,10.893480059958618
4NB,Heavy A,174.0,194.0,165.0,229.0,240.3,223.20000000000002,182.70000000000002,208.02129398180514,399.8101575616382,519.3601201797644,439.729837781776,351.90000000000003,342.0,357.3,276.3,255.6,216.84446602628213,246.2565172131513,309.2149043554837,216.8522564895671,213.3,237.0,189.9,204.99548840103944
4NB,Heavy B,46.0,47.0,55.0,40.0,29.7,19.8,14.4,5.887395112692598,0.0,20.922090149421788,20.124935367587003,11.700000000000001,18.0,8.1,8.1,5.4,7.56434183812612,6.314269672132085,13.385926595475485,16.028210262272353,19.8,39.0,38.7,31.690123810788705
5SB,Lights,1145.0,860.0,720.0,548.0,826.0,2178.0,3330.3571721345374,3594.250444604235,3497.889211212871,3280.073427547035,3521.060746485849,4216.0,4158.900000000001,4663.08653514637,5069.7,5142.0,6232.799999999999,7086.799999999999,7011.2,6742.4,3995.0,3614.0,2915.0,2078.0
5SB,Medium A,17.0,15.0,26.0,42.0,39.0,80.0,161.00963427622446,190.62963806662648,215.1321382750513,277.48794313987,199.71269435867615,212.0,231.3,152.88808311955313,165.6,155.0,166.6,156.79999999999998,159.6,140.0,30.0,26.0,19.0,21.0
5SB,Medium B,12.0,6.0,7.0,10.0,21.0,79.0,72.50141426473265,68.0220294422764,72.59603019981155,68.21962721711091,67.4705048509041,85.0,81.0,73.71389721835597,48.6,44.0,37.8,36.4,25.2,26.599999999999998,9.0,11.0,8.0,9.0
5SB,Heavy A,177.0,161.0,178.0,193.0,261.0,282.0,222.2121268373624,248.5743298137508,350.5857068186021,427.7555003883711,421.915557000987,442.0,417.6,387.680496481724,316.8,312.0,372.4,401.79999999999995,456.4,436.79999999999995,262.0,221.0,222.0,194.0
