Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S9,SB,Medium B,681,3,1,1,2,0,42,52,49,63,66,54,66,61,61,50,28,22,28,21,9,2,3,0,3
S9,SB,Heavy A,6862,150,173,176,187,218,264,265,277,391,450,458,458,395,373,344,295,261,278,319,277,281,214,176,188
S9,SB,Heavy B,445,23,22,37,26,25,16,8,11,25,24,18,12,21,16,17,7,9,8,17,27,18,33,20,11
S9,NB,Lights,65388,447,331,400,754,1581,4594,4772,4029,3592,3508,3305,3109,3293,3356,3508,3895,4047,4224,3432,2546,2350,2165,1329,825
S9,NB,Medium A,2409,28,25,33,16,54,66,121,142,195,179,170,151,184,172,172,153,146,132,95,40,34,51,19,38
S9,NB,Medium B,699,2,1,2,1,1,24,43,29,44,59,77,58,74,61,56,51,43,34,27,8,1,0,7,0
S9,NB,Heavy A,6546,160,178,185,219,170,240,251,258,331,383,376,361,406,395,272,357,309,311,278,255,257,240,191,169
S9,NB,Heavy B,412,36,20,12,22,20,23,16,20,14,20,19,15,21,16,10,11,15,13,12,7,5,21,17,34
S10,SB,Lights,70947,639,476,441,474,612,1413,3167,4155,3326,3036,3335,3437,3488,3852,4766,5979,6167,6685,4860,3440,2648,1898,1617,1036
S10,SB,Medium A,2448,15,5,18,30,55,66,130,165,194,214,162,148,144,153,168,170,166,146,146,41,35,28,14,35
S10,SB,Medium B,711,1,0,0,0,0,25,54,56,61,55,70,58,51,50,69,42,42,27,24,12,3,8,3,0
S10,SB,Heavy A,8234,213,218,210,181,229,303,315,311,444,496,507,536,490,449,426,398,340,381,400,344,339,266,227,211
S10,SB,Heavy B,418,16,15,35,30,22,14,7,9,17,27,19,13,17,17,16,9,15,2,16,26,17,27,17,15
S10,NB,Lights,68686,451,339,374,677,1470,4117,5599,5047,3761,3482,3218,3223,3559,3693,3829,4320,4354,4274,3402,2665,2512,2237,1240,843
