Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S8,EB,Heavy B,435.5,41.0,22.5,28.0,26.0,23.0,21.0,14.0,13.5,18.0,21.5,15.0,14.0,19.0,14.0,10.0,7.5,13.0,11.0,12.5,17.0,12.5,20.5,20.5,20.5
S8,WB,Lights,72090.0,542.0,418.5,472.0,853.0,1716.5,5157.0,4799.5,3490.0,3610.0,4042.0,3841.0,3575.0,3737.5,3899.5,3984.0,4441.5,4766.0,4842.5,3885.0,2787.5,2502.5,2238.5,1535.0,954.0
S8,WB,Medium A,2507.5,30.0,35.0,19.5,22.5,43.0,65.0,140.0,132.0,197.5,217.0,208.5,178.5,202.5,177.0,172.5,156.0,156.5,129.0,88.0,48.5,28.0,26.5,16.5,18.0
S8,WB,Medium B,781.0,3.0,1.0,3.0,2.5,0.5,33.0,53.0,44.0,50.0,60.0,94.5,58.0,74.0,71.0,56.5,54.0,41.5,34.5,24.0,10.0,5.5,5.5,1.5,0.5
S8,WB,Heavy A,6870.0,258.0,188.5,170.5,243.5,219.5,256.5,255.5,250.0,319.5,394.0,420.0,389.5,406.0,411.5,309.5,353.0,311.0,307.0,259.5,249.5,238.0,256.5,198.5,205.0
S8,WB,Heavy B,468.0,52.0,24.0,28.5,26.0,23.0,19.0,10.0,12.5,11.5,17.5,19.5,16.0,19.5,16.5,10.5,9.0,16.0,14.0,10.5,11.5,13.0,31.0,27.5,29.5
S9,EB,Lights,64582.5,619.5,461.0,402.0,434.0,618.5,1565.0,3097.5,3402.5,2836.5,2637.5,2928.0,3029.0,3318.0,3697.0,4538.0,5278.0,5671.5,5328.0,4185.0,3342.5,2535.0,1880.5,1638.5,1139.5
S9,EB,Medium A,2186.0,9.5,16.5,13.0,24.5,52.5,66.0,126.5,194.0,207.0,220.5,149.0,134.5,120.5,146.5,131.5,123.0,119.0,106.0,89.0,43.5,28.0,24.0,19.5,22.0
S9,EB,Medium B,680.5,2.5,0.5,0.5,1.5,0.0,42.0,52.0,49.0,62.5,65.5,53.5,65.5,61.0,61.0,50.0,27.5,22.0,28.0,20.5,8.5,2.0,2.5,0.0,2.5
S9,EB,Heavy A,6862.0,150.0,173.0,176.0,186.5,217.5,263.5,264.5,277.0,391.0,449.5,458.0,458.0,394.5,373.0,343.5,295.0,260.5,277.5,318.5,276.5,280.5,214.0,176.0,188.0
S9,EB,Heavy B,445.0,23.0,22.0,36.5,26.0,24.5,15.5,7.5,10.5,25.0,23.5,18.0,12.0,20.5,16.0,17.0,7.0,9.0,8.0,16.5,26.5,17.5,32.5,20.0,10.5
S9,WB,Lights,65387.5,447.0,330.5,400.0,753.5,1581.0,4594.0,4771.5,4029.0,3591.5,3507.5,3305.0,3109.0,3292.5,3356.0,3508.0,3895.0,4046.5,4224.0,3432.0,2545.5,2350.0,2164.5,1329.0,825.0
S9,WB,Medium A,2409.0,27.5,25.0,32.5,16.0,54.0,66.0,120.5,141.5,195.0,179.0,170.0,150.5,183.5,171.5,171.5,152.5,145.5,131.5,94.5,40.0,34.0,50.5,18.5,38.0
S9,WB,Medium B,698.5,2.0,1.0,1.5,1.0,0.5,24.0,43.0,29.0,44.0,59.0,76.5,57.5,74.0,61.0,56.0,50.5,43.0,33.5,26.5,8.0,0.5,0.0,6.5,0.0
S9,WB,Heavy A,6546.0,160.0,178.0,184.5,218.5,169.5,239.5,251.0,258.0,331.0,382.5,375.5,360.5,405.5,395.0,271.5,357.0,309.0,311.0,277.5,254.5,257.0,239.5,191.0,169.0
S9,WB,Heavy B,411.5,36.0,19.5,12.0,22.0,19.5,22.5,15.5,19.5,13.5,19.5,18.5,14.5,21.0,15.5,10.0,11.0,15.0,12.5,11.5,6.5,5.0,20.5,17.0,33.5
S10,EB,Lights,70947.0,639.0,476.0,441.0,474.0,612.0,1413.0,3167.0,4155.0,3326.0,3036.0,3335.0,3437.0,3488.0,3852.0,4766.0,5979.0,6167.0,6685.0,4860.0,3440.0,2648.0,1898.0,1617.0,1036.0
S10,EB,Medium A,2448.0,15.0,5.0,18.0,30.0,55.0,66.0,130.0,165.0,194.0,214.0,162.0,148.0,144.0,153.0,168.0,170.0,166.0,146.0,146.0,41.0,35.0,28.0,14.0,35.0
S10,EB,Medium B,711.0,1.0,0.0,0.0,0.0,0.0,25.0,54.0,56.0,61.0,55.0,70.0,58.0,51.0,50.0,69.0,42.0,42.0,27.0,24.0,12.0,3.0,8.0,3.0,0.0
S10,EB,Heavy A,8234.0,213.0,218.0,210.0,181.0,229.0,303.0,315.0,311.0,444.0,496.0,507.0,536.0,490.0,449.0,426.0,398.0,340.0,381.0,400.0,344.0,339.0,266.0,227.0,211.0
S10,EB,Heavy B,418.0,16.0,15.0,35.0,30.0,22.0,14.0,7.0,9.0,17.0,27.0,19.0,13.0,17.0,17.0,16.0,9.0,15.0,2.0,16.0,26.0,17.0,27.0,17.0,15.0
S10,WB,Lights,68686.0,451.0,339.0,374.0,677.0,1470.0,4117.0,5599.0,5047.0,3761.0,3482.0,3218.0,3223.0,3559.0,3693.0,3829.0,4320.0,4354.0,4274.0,3402.0,2665.0,2512.0,2237.0,1240.0,843.0
S10,WB,Medium A,2513.0,21.0,21.0,36.0,36.0,46.0,67.0,165.0,183.0,240.0,200.0,172.0,165.0,141.0,184.0,155.0,158.0,145.0,116.0,98.0,32.0,47.0,25.0,26.0,34.0
S10,WB,Medium B,720.0,0.0,0.0,0.0,0.0,0.0,20.0,51.0,54.0,74.0,59.0,68.0,60.0,72.0,52.0,53.0,47.0,40.0,26.0,25.0,7.0,4.0,7.0,0.0,1.0
S10,WB,Heavy A,7828.0,204.0,184.0,193.0,242.0,227.0,309.0,361.0,368.0,429.0,491.0,456.0,448.0,490.0,464.0,329.0,418.0,381.0,331.0,308.0,266.0,251.0,262.0,203.0,213.0
S10,WB,Heavy B,446.0,35.0,26.0,23.0,27.0,23.0,26.0,14.0,22.0,13.0,21.0,14.0,18.0,22.0,18.0,8.0,10.0,15.0,12.0,8.0,2.0,11.0,29.0,19.0,30.0
