Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S8,SB,Heavy A,6850.707352,254.5,171.5,175.5,204,224,253.5035861,233.55,258.4738578,361.5539924,390.3189321,406.5467346,391.769945,363.15,366.75,292.05,292.05,284.5462625,297.1484379,357.7956035,378,260,237,200.5,196.5
S8,SB,Heavy B,435.4696179,41,22.5,28,26,23,20.67407886,12.6,13.4725756,18.67423777,20.07621302,13.79683489,13.20043136,17.1,12.6,9,6.75,13.33009518,10.98700106,14.90815015,23.8,12.5,20.5,20.5,20.5
S8,NB,Lights,76437.10386,542,418.5,472,853,1716.5,4641.3,4319.55,4886,5054,5658.8,4147.479291,3575,3403.817896,3533.961731,3800.653546,3997.35,4261.47567,4856.976815,5166.238911,3902.5,2502.5,2238.5,1535,954
S8,NB,Medium A,2696.26726,30,35,19.5,22.5,43,58.5,126,184.8,276.5,303.8,225.1365353,178.5,184.4209027,160.4080591,164.5614299,140.4,139.9330555,129.3856498,117.0216279,67.9,28,26.5,16.5,18
S8,NB,Medium B,827.902901,3,1,3,2.5,0.5,29.7,47.7,61.6,70,84,102.0403002,58,67.39331755,64.34447568,53.89983066,48.6,37.10684857,34.6031389,31.91498941,14,5.5,5.5,1.5,0.5
S8,NB,Heavy A,7266.724085,258,188.5,170.5,243.5,219.5,230.85,229.95,350,447.3,551.6,453.5124453,389.5,369.752526,372.9260809,295.2565945,317.7,278.0778291,307.9177867,345.080823,349.3,238,256.5,198.5,205
S8,NB,Heavy B,484.9959774,52,24,28.5,26,23,17.1,9,17.5,16.1,24.5,21.05593496,16,17.75904989,14.95329364,10.01678269,8.1,14.30625487,14.04185347,13.96280787,16.1,13,31,27.5,29.5
S9,SB,Lights,62376.88306,619.5,461,402,434,618.5,1565,2893.221617,3132.057233,2785.091184,2578.368433,2886.519543,2887.93066,3057.423227,3327.3,4084.2,4750.2,5337.684238,4690.892921,4424.776839,4247.717167,2535,1880.5,1638.5,1139.5
S9,SB,Medium A,2092.804656,9.5,16.5,13,24.5,52.5,66,118.1573962,178.580192,203.2483255,215.5564889,146.8891434,128.2359438,111.0366181,131.85,118.35,110.7,111.9958431,93.32482163,94.09919682,55.28068714,28,24,19.5,22
S9,SB,Medium B,646.9591217,2.5,0.5,0.5,1.5,0,42,48.57062925,45.10530622,61.36724803,64.03151937,52.74207498,62.44947449,56.20940834,54.9,45,24.75,20.70511386,24.65183968,21.6745341,10.80197335,2,2.5,0,2.5
